"번호","운영기관명","상품명","운영기관구분","상품구분","학자금유형구분","학교구분","학년구분","성적기준 상세내용","소득기준 상세내용","지원내역 상세내용","특정자격 상세내용","지역거주여부 상세내용","선발방법 상세내용","선발인원 상세내용","자격제한 상세내용","추천필요여부 상세내용","제출서류 상세내용","홈페이지주소","모집시작일","모집종료일"
"1","서울특별시 양천구청","일반장학금","지자체","장학금","지역연고","일반고","1학년/2학년/3학년/제한없음","해당없음","중위소득이 100%이내인 자","600000원","해당없음","공고일 기준 양천구 관내에 1년 이상 거주하고 있는 고등학생(주민등록 기준)","중위소득(소득분위) 한부모 다자녀 양천구 거주기간 고려","30명","2023년 국가 또는 타 지자체 민간단체 등으로부터 장학금을 받았거나 받을 예정인 자장학금 종류 중 한가지 분야만 신청 가능하며 장학생 신청은 1가구당 1명에 한함","동장 추천","장학금 신청서 및 개인정보제공동의서초본동장 추천서 * 자세한 사항은 홈페이지 공고문 참조","https://www.yangcheon.go.kr","2023-08-01","2023-09-11"
"2","서울특별시 양천구청","성적우수장학금","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/외국어고/일반고","1학년/2학년/3학년/제한없음","23년 1학기 성적의 과목별 석차등급의 평균이 2.75등급 이내인 자","해당없음","600000원","해당없음","공고일 기준 양천구 관내에 1년 이상 거주하고 있는 고등학생(주민등록 기준)","고등학교별 1명 선발나머지 인원 수급자·차상위 한부모 다자녀 양천구 거주기간 고려","20명","2023년 국가 또는 타 지자체 민간단체 등으로부터 장학금을 받았거나 받을 예정인 자장학금 종류 중 한가지 분야만 신청 가능하며 장학생 신청은 1가구당 1명에 한함","학교장 추천","장학금 신청서 및 개인정보제공동의서초본학교장 추천서성적증명서수급자차상위한부모가족 증빙서류(해당자) * 자세한 사항은 홈페이지 공고문 참고","https://www.yangcheon.go.kr","2023-08-01","2023-09-11"
"3","서울특별시 양천구청","특기장학금","지자체","장학금","특기자","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","해당없음","해당없음","600000원","예술·체육·과학 분야에서 정부 광역시·도단위 이상 자치단체 전국 교육감 및 교육장 등이 주최·주관하는 광역시·도단위 이상 대회에서 3위권 이내 입상한 자입상실적 : 공고일 기준 2년 이내 입상한 대회","공고일 기준 양천구 관내에 1년 이상 거주하고 있는 고등학생(주민등록 기준)","수급자·차상위 한부모 다자녀 양천구 거주기간 고려","4명","2023년 국가 또는 타 지자체 민간단체 등으로부터 장학금을 받았거나 받을 예정인 자장학금 종류 중 한가지 분야만 신청 가능하며 장학생 신청은 1가구당 1명에 한함","학교장","장학금 신청서 및 개인정보제공동의서초본학교장 추천서대회수상 증빙서류수급자·차상위·한부모가족 증빙서류 (해당자) * 자세한 사항은 홈페이이지 공고문 참고","https://www.yangcheon.go.kr","2023-08-01","2023-09-11"
"4","재단법인 대전청년내일재단","희망장학생","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/체육고","해당없음","학업성적이 6등급 이내인 고등학생고1의 경우 중학교 3학년 12학기 원점수가 기재된 과목들의 평균이 50점 이상인 학생","국민기초생활보장법상 수급자 및 차상위 계층의 자녀(한부모 가정 자녀 포함)","700000원","해당없음","선발공고일 현재 대전시에 소재한 고등학교에 재학 중인 학생","직전 1년 학업성적 60% + 가정형편 40%","160명","징계(출석정지 7일 이상)처분 및 타 도시로 전학하였을 때","학교장 추천","장학금 지원 신청서장학생 추천 및 타 장학금 수혜 확인서주민등록등본개인정보 수집이용 제공 및 조회 동의서성적증명서기초생활수급 증명서통장 사본※ 자세한 사항은 기관 홈페이지 참조","http://www.dhrdf/or.kr/html/kr ","2023-04-11","2023-05-10"
"5","(재)옹진군인재육성재단","응원장학금","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/체육고","해당없음","해당없음","가정형편이 어려운 자 ","1000000원 이내 ","관내 고등학생(또는 보호자)이 질병 실직 폐업 화재 출소 재난 등 경제적 어려움으로 긴급지원이 필요한 자","장학생 선발 공고일 기준 본인이나 친권자가 옹진군에 주민등록을 두고 5년 이상 실거주하고 있는 자관내 소재 초·중·고 통합 3년 이상 재학경력이 있는 자","해당없음","00명","종류별 중복신청 금지 * 자세한 사항은 첨부파일 참고","면의 면장 또는 면 지역사회보장 협의체 추천 ","학자지원금 신청서 및 지원신청서개인정보 수집이용·제공 및 조회 동의서실거주확인서서약서재학증명서성적증명서주민등록 등본 및 초본가족관계등록부등록금납입증명서생활기록부긴급지원 필요 입증서류 * 자세한 사항은 첨부파일 참고","http://www.ongjin.go.kr","2023-09-18","2023-10-20"
"6","(재)인제군장학회","장학생","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","(신입생)최종학력 성적 상위 5% 이내(재학생)직전학년의 성적이 학년석차 상위 5% 범위(학교별 5명 이내)","해당없음","500000원","관내 고등학교 신입생 및 재학생","신청일 현재 군 관내에 주소를 두고 1년 이상 거주하고 있는 자 보호자 중 한 명 이상이 신청일 기준 군 관내에 1년 이상 계속해서 거주 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","해당없음","인제군 인재육성기금 장학금과의 중복지원 불가편입 재입학 등의 사유로 같은 학년을 중복하여 다니게 된 경우 지원받은 학년 중복지급 불가 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","학교장 추천 학교 일괄 신청","장학생지원서개인정보 수집·이용제공 및 조회 동의서통장사본(신입생)고등학교 입학(예정)증명서 성적 입증 가능 서류(재학생)재학증명서 성적증명서류학교장 추천서 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","www.inje.go.kr/portal","2024-01-09","2024-01-31"
"7","우리다문화장학재단","특기장학","민간(기업)","장학금","특기자","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","해당없음","해당없음","5000000원"," * 특기 및 재능 보유 다문화가족 자녀(8세 ~ 25세)예·체능 및 어학 특기자 자격·기술 보유자 직업·진로 특기자 등 대회 입상자 자격증 보유자 직업 및 진로관련 확실한 목표 가진 학생졸업자 및 학교 밖 청소년 신청가능최근 3년 이내 전국규모 이상의 대회 입상 실적","해당없음","서류평가필요시 인터뷰","20명","1998년 이전 출생자 지원 불가학업장학과 중복지원 불가","학교 및 기관 담당자의 추천서 필요 (소속학교 학교장 소속대학 총장(지도교수 및 학과장 포함) 특기·재능관련 전문기관장 지자체 및 주민센터장 다문화 및 사회복지기관(단체)장) * 자세한 사항은 첨부파일 참고","장학생 신청서자기소개서(재학중 또는 재직시) 재학증명서 또는 재직증명서(아닌경우) 졸업증명서 또는 경력증명서장학생 추천서주민등록등본가족관계증명서(상세)다문화 가정 입증서류 택1법정 저소득 증빙서류(해당자)차상위 본인부담경감대상자 증명서(해당자)건강보험확인서건강보험료 납부확인서자원봉사활동실적확인서수상 실적 자료 또는 경력관련 포트폴리오[필수]  * 자세한 사항은 첨부파일 참고 필수","http://www.woorifoundation.or.kr","2023-04-12","2023-05-03"
"8","우리다문화장학재단","특별장학(코로나19 피해 소상공인 자녀)","민간(기업)","장학금","소득구분","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","해당없음","해당없음","500000원","코로나19로 인해 폐업한 소상공인 사업주의 자녀개업일이 2019.12.31 이전 폐업일이 2020.3.22 이후국내 고등등학교 재학생업종별 매출액 및 상시근로자 수가 소상공인에 해당하는 업체","해당없음","소상공인시장진흥공단의 적격심사 > 우리다문화장학재단 최종심의 후 선발","100명","해당없음","해당없음","장학금 신청서 및 동의서재학증명서가족관계증명서통장사본폐업사실증명원매출액 확인서류상시근로자 확인서류","http://www.woorifoundation.or.kr","2022-05-03","2022-05-20"
"9","봉평태기장학회","일반장학생","민간(기타)","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","해당없음","재학생 : 직전학년 성적순위 10% 잉내신입생 : 입학 성적순위 10% 이내","해당없음","500000원","2022년 7월 30일 현재까지 보호자의 본적 또는 주소가 봉평면내에 되어 있는 강원도내 고등학교 재학생 및 신입생","본적을 봉평면내에 두고 기준일 현재 주소가 봉평면낸에 3년 이상 거주하고 있는 자.단 본적이 타 지역인 자는 5년 이상 거주","예산범위 내 성적순 선발장학이사회 심의 후 개별 통보 예정","해당없음","학자금 면제자타장학금 일백만원 이상 수혜대상 확정자","해당없음","장학생 지원서 (소정양식 봉평면사무소 비치 / 반명함사진)성적증명서 (학교장 발행)장학금(미)수혜 확인서 (학교장 발행)가족관계등록부 주민등록 등·초본 각 1부 * 자세한 사항은 홈페이지 및 첨부파일 참고","https://www.pc.go.kr/","2023-12-02","2023-12-11"
"10","봉평태기장학회","예체능특기생","민간(기타)","장학금","특기자","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","해당없음","해당없음","해당없음","해당없음","봉평면내 초/중/고 재학생 중 예체능 특기자로서 前학년 도내 1위 및 전국대회 3위 이내 입상자","본적을 봉평면내에 두고 기준일 현재 주소가 봉평면낸에 3년 이상 거주하고 있는 자.단 본적이 타 지역인 자는 5년 이상 거주","예산범위 내 성적순 선발장학이사회 심의 후 개별 통보 예정","00명체육특기생은 3명 이내 선발","학자금 면제자타장학금 일백만원 이상 수혜대상 확정자","해당없음","장학생 지원서 (소정양식 봉평면사무소 비치 / 반명함사진)성적증명서 (학교장 발행)장학금(미)수혜 확인서 (학교장 발행)가족관계등록부 주민등록 등·초본 각 1부 * 자세한 사항은 홈페이지 및 첨부파일 참고","https://www.pc.go.kr/","2023-12-02","2023-12-11"
