"번호","운영기관명","상품명","운영기관구분","상품구분","학자금유형구분","대학구분","학년구분","학과구분","성적기준 상세내용","소득기준 상세내용","지원내역 상세내용","특정자격 상세내용","지역거주여부 상세내용","선발방법 상세내용","선발인원 상세내용","자격제한 상세내용","추천필요여부 상세내용","제출서류 상세내용","홈페이지 주소","모집시작일","모집종료일"
"1","(재)한국장학재단","인문100년장학금","한국장학재단","장학금","성적우수","4년제(5~6년제포함)","대학5학기/대학신입생","교육계열/사회계열/인문계열","□ 신규장학생 ㅇ 직전학기까지 총 평균 백분위점수 90점 이상 또는 평점 3.6이상/4.5만점 ㅇ 취득 이수학점이 소속대학 졸업이수학점의 40% 이상□ 계속장학생 ㅇ 백분위 90점 이상 또는 평점 3.6이상/4.50만점(3.4이상/4.3만점)※ 백분위 점수 또는 평점 둘 중 하나만 충족하면 계속지원 ㅇ 직전학기 12학점 이상 이수□ 중간평가(2+2) 대상자 ㅇ 직전 2년간 4개 학기 성적 및 이수학점 중간평가서 평가를 통해 계속지원여부 결정 ㅇ 계절학기 및 재수강 취득 성적을 포함해 직전 2년간 4개학기 평균 성적이 백분위 87점 이상 또는 평점 3.50이상/4.5만점 (3.30이상/4.3만점) ※ 자세한 사항은 한국장학재단 홈페이지 참고","해당없음","□ 등록금 : 장학생 선정 후 매학기별 등록금 전액 지원 (입학금/수업료/기성회비)ㅇ 생활비 : 선발된 장학생은 계속지원 충족 및 대학의 학생 자체평가 후 학기당 250만원 지원ㅇ 기초생활수급자 : 계속지원 기준을 충족하는 기초생활수급자는 학기당 250만원 추가지원","□ 대한민국 국적소지자로서 국내 4년제 대학의 인문사회계열 학과(부)에 재학중인 1학년 신입생 또는 3학년 ㅇ 전공탐색 : 1학년 신입생 ㅇ 전공확립 : 3학년 재학생","해당없음","□ 대학별 배정인원 범위 내에서 선발기준에 따라 대학별 자체 선발","□ 학교마다 선발하는 인원이 상이하므로 장학부서에 확인 필수","□ 인문100년 장학금 장학생 자격 유지자 또는 기존 인문 100년장학생으로 선발된 후 영구탈락 된 학생□ 한국장학재단에서 운영중인 타 장학금 기수혜자 또는 장학생 자격 유지자□ 계약학과(등록금전액/일부지원) 선발제외※ 자세한 사항 홈페이지 참고","해당없음","□ 신규장학생ㅇ 전공탐색유형/전공확립유형 : 학업계획서□ 계속장학생ㅇ 중간평가(2+2) : 중간평가서ㅇ 학업장려비 : 진도보고서 및 교수평가서※ 자세한 사항은 한국장학재단 홈페이지 참고","https://www.kosaf.go.kr","2024-03-19","2024-04-05"
"2","광주남구장학회","행복나눔 장학생","지자체","장학금","지역연고","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전학기 12학점 이상 취득하고 성적 평균 2.75 이상인 자 (4.3만점은 2.6이상)","2023년도 기준 중위소득 100% 이하인 가구 * 직계가족의 3개월 평균국민건강보험료 산정","1인당 1000000원 * 생활비 지원","공고일 현재 신청 학생 또는 학생의 부모가 광주광역시 남구에 주민등록상 1년 이상 주소를 두고 이고 유형별 자격과 요건을 충족하는 자","보호자 또는 본인이 선발 공고일 현재 주민등록상 주소지가 광주광역시 남구로 1년 이상 두고 신청 요건을 갖춘 자","서류심사 (사무국) : 제출서류 신청요건 충족 및 직전학기 성적 등 확인심사의결 (장학생 선발 심사위원회)최종선정자 발표선발결과 : 개별 안내 및 홈페이지 게시","11명","원격대학2년 미만 교육과정의 각족 학교평생교육법에 의거 설립한 학교최근 2년 남구장학회 장학생으로 선발된 자 * 자세한 사항 공문 참조","해당없음","장학생 신청서주민등록표등본학생 명의의 가족관계증명서건강보험 자격확인서건강보험료 납부확인서2022년 1학기 성적증명서재학증명서2학기 등록금 납입증명서개인정보 수짐이용제공 및 조회 동의서통장 사본가정환경 세대구성 관련증명서 (해당자)*자세한 사항 공고문 참조","https://namgu.gwangju.kr","2023-09-18","2023-10-06"
"3","광주남구장학회","특별장학생","지자체","장학금","지역연고","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전학기 12학점 이상 취득하고 성적 평균 2.75 이상인 자 (4.3만점은 2.6이상)","2023년도 기준 중위소득 150% 이하인 가구 * 직계가족의 3개월 평균국민건강보험료 산정","1인당 1000000원 * 생활비 지원","공고일 현재 신청 학생 또는 학생의 부모가 광주광역시 남구에 주민등록상 1년 이상 주소를 두고 이고 유형별 자격과 요건을 충족하는 자3자녀 이상 가구다문화 가구본인 또는 가구원이 장애인인 가구","보호자 또는 본인이 선발 공고일 현재 주민등록상 주소지가 광주광역시 남구로 1년 이상 두고 신청 요건을 갖춘 자","서류심사 (사무국) : 제출서류 신청요건 충족 및 직전학기 성적 등 확인심사의결 (장학생 선발 심사위원회)최종선정자 발표선발결과 : 개별 안내 및 홈페이지 게시","10명","원격대학2년 미만 교육과정의 각족 학교평생교육법에 의거 설립한 학교최근 2년 남구장학회 장학생으로 선발된 자 * 자세한 사항 공문 참조","해당없음","장학생 신청서주민등록표등본학생 명의의 가족관계증명서건강보험 자격확인서건강보험료 납부확인서2023년 1학기 성적증명서재학증명서개인정보 수짐이용제공 및 조회 동의서통장 사본가정환경 세대구성 관련증명서 (해당자)*자세한 사항 공고문 참조","https://namgu.gwangju.kr","2023-09-18","2023-10-06"
"4","농파장학회","장학금","민간(기타)","장학금","지역연고","4년제(5~6년제포함)","대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","학업성적이 우수한 자 ","가정형편이 곤란한 자","4년간 등록금 전액 지급","4년제 국내 국공립 대학합격자","본적이 경남 출신인 자","본 재단 선발위원회(이사회)에서 선발발","0명","1. 형제 중 본 장학회에 입회된 자 또는 타 장학회 수혜자2. 휴학2회 이상자 성적불량자 장학생으로 품위가 없는 자3. 불순단체 가입자4. 중간에 대학 또는 과 바꾼 자","출신 고등학교장","1. 제출처(우편접수 방문접수 가능 / 원서접수일 마지막날까지 도착을 원칙으로 합니다. 접수 마감일에 발송할경우 원서접수 불가능)경상남도 진주시 진주대로 932(칠암동) 칠암빌딩4층 농파장학회2. 제출서류 ▷출신고등학교장의 추천서 ▷자기 소개서  ▷서약서 ▷가족관계등록부1통 (학생본인의 본적이 나와있는) ▷수능성적표 첨부 (사본가능) ▷(추천서 포함)사진2매(3cm× 4cm) ▷신입생 입학금 및 등록금 납입고지서 영수증사본 1부","http://cafe.daum.net/nongpa","2024-02-05","2024-02-08"
"5","재단법인 조준장학재단","장학생","민간(기업)","장학금","기타","특정대학","대학4학기/대학5학기","특정학과","전체학기 평점평균 3.8/4.3 이상","해당없음","7200000원 (생활비/연)","해당없음","해당없음","1차 서류전형/ 2차 면접전형","각 학교당 1명","타 재단 장학금 비수혜자 국가 및 교내(성적우수)장학금은 제외"," * 학교 추천 방식으로 신청시 각 학교 장학부서에 문의 필수.","장학생 지원 신청서지도교수 추천서자기소개서성적증명서재학증명서학자금지원구간통지서개인정보수집동의서 ※ 자세한 사항은 각 학교 장학팀 공지사항 참고","http://www.chojun.kr/","2023-11-28","2023-12-20"
"6","우리다문화장학재단","학업장학","민간(기업)","장학금","기타","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","□ 2024년 기준 중위소득 100% 이하인 가구","□ 450만원(2회 분할 지급)","□ 다문화가족 자녀□ 국내 2·3·4년제 대학교 재학생 및 휴학생□ 현재 학기(2024년 1학기) 포함 졸업까지 3학기 이상 남은 학생□ 매월 1회 이상 대학 장학생 서포터즈 '우리누리'활동에 필수 참여","해당없음","□ 서류평가 및 역량평가□ 면접 또는 전화 인터뷰(필요시)","□ 50명","□ 외국인 및 북한이탈주민 지원불가□ 특기장학과 중복지원 불가능","□ 추천자격에 해당하는 자의 추천 필요□ 추천자격 : 소속대학 총장 및 학과장/다문화 및 사회 복지기관장/지자체 및 주민센터장※ 대학교 행정 실무자 추천 불가","□ 장학생 신청서 및 자기소개서□ 재학증명서□ 성적증명서(신입생 제외)□ 장학생 추천서□ 주민등록등본 □ 가족관계증명서□ 다문화 학생임을 입증할 수 있는 서류 1부□ 법정 저소득 증빙서류(해당자)□ 차상위 본인부담경감대상자 증명서(해당자)□ 건강보험자격확인서(해당자)□ 건강보험료 납부확인서(해당자)□ 자원봉사활동 실적확인서(해당자)□ 수상 실적 자료(해당자)※ 자세한 사항은 첨부자료 참고","http://www.woorifoundation.or.kr","2024-03-11","2024-04-09"
"7","우리다문화장학재단","특기장학","민간(기업)","장학금","특기자","4년제(5~6년제포함)/기술대학/원격대학/일반대학원/전문대(2~3년제)/전문대학원/제한없음/학점은행제 대학/해외대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생/연령제한/제한없음","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","□ 500만원(2회 분할 지급)","□ 특기 및 재능 보유 다문화가족 자녀(8세~30세 : 1995년생~2017년생)□ 예·체능 및 어학 특기자/자격·기술보유자/직업·진로 특기자 등□ 최근 3년 이내에 전국 규모 이상의 대회 입상실적 또는 이에 상응하는 특기 및 재능 관련 실적자료 제출이 가능해야함□ 학교 재학여부 관계없음(졸업생 신청가능)","해당없음","□ 서류평가 및 역량평가□ 면접 또는 전화 인터뷰(필요시)","□ 30명","□ 부모 모두 외국 국적을 가진 가족 및 북한이탈주민 지원불가□ 학업장학과 중복지원 불가능","□ 추천자격에 해당하는 자의 추천 필요□ 추천자격 : 소속대학 학교장 및 총장(지도교수 및 학과장 포함)/다문화 및 사회 복지기관장/지자체 및 주민센터장/특기·재능 관련 전문기관장","□ 장학생 신청서 및 자기소개서□ 재학증명서 또는 재직증명서/졸업증명서 또는 경력증명서□ 장학생 추천서□ 주민등록등본□ 가족관계증명서□ 다문화 학생임을 입증할 수 있는 서류 1부□ 수상 실적 자료 또는 경력 관련 포트폴리오(수상확인서·상장 사본·관련기사 스크랩 등)□ 법정 저소득 증빙서류(해당자)□ 차상위 본인부담경감대상자 증명서(해당자)□ 건강보험자격확인서(해당자)□ 건강보험료 납부확인서(해당자)□ 자원봉사활동 실적확인서(해당자)※ 자세한 사항은 첨부자료 참고","http://www.woorifoundation.or.kr","2024-03-11","2024-04-09"
"8","지헌장학재단","삼원지헌장학생","민간(기타)","장학금","기타","4년제(5~6년제포함)","대학5학기/대학6학기/대학7학기/대학8학기이상","예체능계열","최근1년 평균성적 B+ 이상 3.5/4.5이상","부모 또는 보호자의 년소득액이 6천 5백만원 이하인자","1000000원 * 생활비(학자금 및 디자인 재료비)로 타 장학금과 이중수혜 가능","학업의지가 높고 학문적 자질이 우수한 인재4년제 대학교 3~4학년 재학생시각디자인 전공자 및 판화 전공자","해당없음","1차 서류전형2차 면접전형 (필요시)","44명 내외","기업체 학술연수 및 입사 조건부 장학금을 받는 자장학금을 수령한 학기에는 휴학을 할 수 없으며 휴학의 경우 장학금을 반환해야 함","해당없음","장학생 선발원서보호자 생활현황자기소개 및 학업계획서주민등록등본 또는 가족관계증명서부/모 또는 보호자 각각의 소득금액증명원 (2021년도 분)성적증명서입상증명서(해당자)통장사본(본인 또는 보호자)개인정보 수집 이용 제공 동의서 * 자세한 사항은 첨부자료 참고","http//www.jiheonsf.or.kr","2024-03-04","2024-03-25"
"9","풍육장학회","풍육장학생","민간(기타)","장학금","기타","4년제(5~6년제포함)/해외대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","성적이 우수한 자","해당없음","해당없음","풍양조씨인 자성적이 우수하고 행실이 바른 정규 4년제 대학 신입생 및 재학생 또는 해외유학생","해당없음","해당없음","00명","1세대 1자녀 원칙.타처에서 장학금을 받고 있는 학생은 신청 불가능수능성적이 없이 수시전형에 합격한 자는 신청할 수 없음.한번 수혜 받은 학생은 재신청 불가전문대/대학원생 제외  * 이 외 자세한 사항은 첨부파일 참고","해당없음","장학금 수혜원서(본회 소정양식) 1통성적증명서 (재적학교 발행) * 신입생 : 수능시험성적통지표 대학합격통지표 각1통 * 재학생 : 소속대학의 성적증명서 재학증명서 각 1통가족관계증명서 1통기초생활수혜대상자 증명서 (해당자)장애인증명서(해당자)소속학교와 자신에 관한 소개서(해외 유학생의 경우) 1통  * 자세한 사항은 첨부파일 참고","http://cafe.naver.com/choscholarship","2024-02-01","2024-02-21"
"10","하영호장학재단","장학생","민간(기타)","장학금","기타","4년제(5~6년제포함)","대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","사각지대의 어려운 생활수준","2000000 / 학기","매월 첫째 주 토요일 정기봉사에 참여할 수 있는 학생","해당없음","학교 추천 후 장학회를 거쳐 최종 선발","해당없음","기초수급 대상자 및 차상위계층은 제외장학금 총합이 등록금 범위를 초과하지 않아야 함 ※ 자세한 사항은 각 학교 장학부서 문의","교수 추천","자기소개서장학금 신청서성적증명서교수추천서주민등록등본재산세납입증명서 또는 소득확인 증빙서류재학증명서 * 자세한 사항은 각 학교 장학부서 또는 하영호장학재단 문의","해당없음","2024-01-30","2024-02-14"
